country,n_users,n,condorcet_3cycles,condorcet_3cycle_fraction,num_4subsets,odd_parity_4subsets,odd_parity_fraction,cohomology_class_nonzero,beta_1_acyclic_complex,num_acyclic_triples,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
KWT,552,20,0,0.0,4845,0,0.0,False,0,1140,190,17368.043973609285,352.10782591941535,17720.151799528707,0.019870474581870128
LBN,635,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,20785.917154707495,423.58137743320515,21209.498532140668,0.019971305629471345
LKA,312,20,0,0.0,4845,0,0.0,False,0,1140,190,10312.906315062224,245.33431652672982,10558.240631588953,0.023236287662616803
LTU,10521,20,0,0.0,4845,0,0.0,False,0,1140,190,348210.105674572,6239.600417042481,354449.7060916145,0.017603627002104872
LUX,1443,20,0,0.0,4845,0,0.0,False,0,1140,190,46822.28563396003,937.7172272036214,47760.00286116359,0.019633944116995296
LVA,2448,20,0,0.0,4845,0,0.0,False,0,1140,190,75455.75550256882,1337.3414646430392,76793.09696721168,0.01741486562540958
MAR,1663,20,0,0.0,4845,0,0.0,False,0,1140,190,54155.517525734234,1018.6816635421079,55174.1991892763,0.018463007683129175
MDA,578,20,0,0.0,4845,0,0.0,False,0,1140,190,18237.55474929671,318.2046208994566,18555.759370196145,0.01714856366431168
MEX,18070,20,0,0.0,4845,0,0.0,False,0,1140,190,558705.0663984469,9302.103597461597,568007.1699959075,0.016376736225932886
MKD,1125,20,0,0.0,4845,0,0.0,False,0,1140,190,35423.43415745918,713.0486569249306,36136.482814384086,0.01973209901438173
MLT,524,20,0,0.0,4845,0,0.0,False,0,1140,190,17588.438401892872,418.51338952137064,18006.95179141432,0.023241767644478117
MNE,219,20,0,0.0,4845,0,0.0,False,0,1140,190,6778.773566412693,170.25737361321384,6949.030940025902,0.024500880062649315
MNG,207,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,7063.41539189853,175.33460559291416,7238.749997491443,0.024221668886710495
MUS,240,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,7500.137279732478,143.09775510129506,7643.235034833779,0.018722145066733132
MYS,4685,20,0,0.0,4845,0,0.0,False,0,1140,190,139678.34973369283,2297.851371070603,141976.2011047634,0.01618476444073209
NLD,28674,20,0,0.0,4845,0,0.0,False,0,1140,190,924533.9085346712,17102.561437696597,941636.469972369,0.01816259457134073
NOR,11992,20,0,0.0,4845,0,0.0,False,0,1140,190,396561.77200096403,7850.258450002725,404412.0304509669,0.01941153541166608
NPL,209,20,0,0.0,4845,0,0.0,False,0,1140,190,6545.017771011284,141.51118755073077,6686.528958562019,0.021163624419741338
