split_index,group,aspect,model,fit_ok,n_train_obs,train_weight,n_features,n_iter
34,all,overall,pooled,True,18138,13316.0,30000,20
34,normal,overall,group_head,True,9112,6831.0,30000,20
34,expert,overall,group_head,True,9026,6485.0,30000,20
34,all,helpful,pooled,True,18166,13307.0,30000,20
34,normal,helpful,group_head,True,9083,6778.0,30000,20
34,expert,helpful,group_head,True,9083,6529.0,30000,20
34,all,truthful,pooled,True,4536,3344.0,30000,20
34,normal,truthful,group_head,True,2036,1511.5,30000,20
34,expert,truthful,group_head,True,2500,1832.5,30000,20
34,all,harmless,pooled,True,1382,1066.0,30000,20
34,normal,harmless,group_head,True,603,472.0,30000,10
34,expert,harmless,group_head,True,779,594.0,30000,20
35,all,overall,pooled,True,17848,13085.0,30000,20
35,normal,overall,group_head,True,9012,6735.5,30000,20
35,expert,overall,group_head,True,8836,6349.5,30000,20
35,all,helpful,pooled,True,17866,13077.0,30000,20
35,normal,helpful,group_head,True,8955,6664.5,30000,20
35,expert,helpful,group_head,True,8911,6412.5,30000,20
35,all,truthful,pooled,True,4422,3243.5,30000,20
35,normal,truthful,group_head,True,1976,1461.0,30000,20
35,expert,truthful,group_head,True,2446,1782.5,30000,20
35,all,harmless,pooled,True,1286,984.0,30000,20
35,normal,harmless,group_head,True,574,441.0,30000,15
35,expert,harmless,group_head,True,712,543.0,30000,20
36,all,overall,pooled,True,17972,13184.5,30000,20
36,normal,overall,group_head,True,9039,6751.5,30000,20
36,expert,overall,group_head,True,8933,6433.0,30000,20
36,all,helpful,pooled,True,17988,13172.5,30000,20
36,normal,helpful,group_head,True,9004,6689.5,30000,20
36,expert,helpful,group_head,True,8984,6483.0,30000,20
36,all,truthful,pooled,True,4446,3256.5,30000,20
36,normal,truthful,group_head,True,1983,1461.5,30000,20
36,expert,truthful,group_head,True,2463,1795.0,30000,20
36,all,harmless,pooled,True,1305,1001.5,30000,20
36,normal,harmless,group_head,True,563,439.5,30000,19
36,expert,harmless,group_head,True,742,562.0,30000,20
37,all,overall,pooled,True,17880,13101.0,30000,20
37,normal,overall,group_head,True,8993,6715.0,30000,20
37,expert,overall,group_head,True,8887,6386.0,30000,20
37,all,helpful,pooled,True,17909,13095.0,30000,20
37,normal,helpful,group_head,True,8946,6652.5,30000,20
37,expert,helpful,group_head,True,8963,6442.5,30000,20
37,all,truthful,pooled,True,4435,3255.0,30000,20
37,normal,truthful,group_head,True,1996,1481.0,30000,20
37,expert,truthful,group_head,True,2439,1774.0,30000,20
37,all,harmless,pooled,True,1307,998.0,30000,20
37,normal,harmless,group_head,True,575,440.0,30000,15
37,expert,harmless,group_head,True,732,558.0,30000,20
38,all,overall,pooled,True,18037,13217.5,30000,20
38,normal,overall,group_head,True,9089,6801.5,30000,20
38,expert,overall,group_head,True,8948,6416.0,30000,20
38,all,helpful,pooled,True,18060,13194.5,30000,20
38,normal,helpful,group_head,True,9051,6724.5,30000,20
