rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
68,20,85,120,8,0.06666666666666667,0.1385413483141722,0.017317668539271525,411.5492806596494,120.48382932488153,532.0331099845308,0.22645926928943325
69,21,71,83,5,0.060240963855421686,0.006581937416391513,0.0013163874832783026,354.77818936636055,57.26090679102767,412.03909615738786,0.13896959615005938
70,20,77,102,7,0.06862745098039216,0.017892038606603926,0.0025560055152291324,397.1211139463332,88.92126076785188,486.0423747141855,0.1829496056185256
71,20,70,81,7,0.08641975308641975,0.0369387106999421,0.005276958671420299,358.10616759205703,62.86279497842043,420.96896257047706,0.14932881178359123
72,21,78,116,10,0.08620689655172414,0.05564995053535386,0.005564995053535387,353.52639719997507,93.9583564958043,447.4847536957792,0.20996996147869101
73,21,77,132,14,0.10606060606060606,0.13728820433591954,0.009806300309708539,430.32431434111777,90.80940748038931,521.1337218215067,0.174253562335182
74,21,83,133,10,0.07518796992481203,0.052089625907391475,0.005208962590739148,511.69452281283816,98.42490944593362,610.1194322587713,0.16132072548738038
75,20,81,113,13,0.11504424778761062,0.13430672872489663,0.010331286824992049,395.6425970093527,98.24769525685961,493.89029226621216,0.1989261518100523
76,21,71,70,5,0.07142857142857142,0.03674431834100982,0.007348863668201965,434.91742055973,84.7412722594507,519.6586928191807,0.16307101840195154
77,21,76,93,10,0.10752688172043011,0.07597022524747364,0.007597022524747364,373.2089951857402,78.61078246930809,451.81977765504814,0.17398703278838148
78,21,80,123,7,0.056910569105691054,0.04176148201882896,0.005965926002689852,467.2084451852847,98.45557710300625,565.6640222882905,0.1740531008225027
79,20,72,99,8,0.08080808080808081,0.024100978805961466,0.0030126223507451833,339.7396360549114,75.30609821573245,415.0457342706441,0.1814404823315848
80,20,79,114,8,0.07017543859649122,0.02586235430211022,0.003232794287763778,380.5904067123506,94.14917321791386,474.73957993026414,0.19831751384989577
81,21,82,116,5,0.04310344827586207,0.012168332326157588,0.002433666465231518,421.17095972553403,107.05881121443153,528.2297709399662,0.20267470162449222
82,21,81,125,12,0.096,0.1925320246946534,0.016044335391221114,469.42951979565413,121.19128732715981,590.6208071228141,0.20519305426698117
83,20,76,121,14,0.11570247933884298,0.10647475441315052,0.007605339600939322,373.8723101716548,88.25419237270603,462.1265025443608,0.19097409883830296
84,20,65,60,2,0.03333333333333333,0.00443292896488044,0.00221646448244022,336.53050820819567,74.08669049790261,410.6171987060981,0.18042763608382276
85,20,72,83,4,0.04819277108433735,0.034895536064526035,0.008723884016131509,312.22360129868946,63.6259740662334,375.84957536492266,0.1692857415216106
86,20,82,127,6,0.047244094488188976,0.04471165591848704,0.007451942653081173,390.3496244261405,106.47458624931642,496.8242106754569,0.21431038174359293
87,20,73,95,7,0.07368421052631578,0.11108005163273545,0.01586857880467649,433.6303815851479,76.99768536839318,510.62806695354135,0.15079015501002355
88,20,77,107,9,0.08411214953271028,0.02481266953418788,0.002756963281576431,386.5540916648072,86.02465016478017,472.57874182958716,0.1820324160831611
89,20,79,122,11,0.09016393442622951,0.08583189474648284,0.00780289952240753,454.33543888181464,92.78378952012427,547.1192284019388,0.16958605127283347
90,20,74,95,13,0.1368421052631579,0.1929548651889735,0.014842681937613348,275.25047074021103,136.10494654699795,411.3554172872088,0.33086946428122355
91,20,85,146,12,0.0821917808219178,0.06451549798042483,0.005376291498368736,422.4560414368141,110.53201523182143,532.9880566686361,0.2073817862311693
92,20,70,81,3,0.037037037037037035,0.043848719371694524,0.014616239790564839,361.3080337458349,89.81000805566009,451.11804180149505,0.19908316611992008
93,21,83,128,11,0.0859375,0.14752313767264486,0.013411194333876804,373.2515160064564,117.53335912444709,490.78487513090346,0.2394804018626252
94,20,83,131,9,0.06870229007633588,0.1643240385710885,0.018258226507898725,544.0100248168037,122.14669465964549,666.1567194764474,0.18336029809268342
95,21,73,94,8,0.0851063829787234,0.04891160468335549,0.006113950585419437,397.25496644893343,75.39188896118783,472.6468554101208,0.15950997684258256
96,20,78,109,8,0.07339449541284404,0.08382319443129192,0.010477899303911492,492.3447228342309,113.61688182217651,605.961604656409,0.18749848331826122
97,19,62,65,7,0.1076923076923077,0.08385513835479351,0.011979305479256214,232.0567850017578,73.8699181402525,305.9267031420098,0.24146279936198448
98,20,69,89,3,0.033707865168539325,0.010993190379600113,0.0036643967932000377,407.2452287511701,72.21566420309576,479.46089295426566,0.15061846599861106
99,20,64,73,3,0.0410958904109589,0.005709934114828442,0.0019033113716094806,340.0726043797471,82.37265297490076,422.44525735464777,0.19499012366884722
100,20,83,141,13,0.09219858156028368,0.18789885990318647,0.014453758454091267,404.2193869993995,110.0422556520156,514.261642651415,0.21398106824507268
