attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_fluency,high_q75,100.0,10.0,25,0.0,21,56,52,0,0.0,0.0,0.0
choice_fluency,high_q75,100.0,10.0,25,0.05,21,56,52,0,0.0,0.0,0.0
choice_fluency,high_q75,100.0,10.0,25,0.1,21,56,52,0,0.0,0.0,0.0
choice_fluency,high_q75,100.0,10.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,10.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,10.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,10.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,10.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,high_q75,100.0,10.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,0.0,10,0.0,21,207,1275,32,0.025098039215686273,0.16813012680623762,0.005254066462694926
choice_fluency,low_q25,72.0,0.0,10,0.05,21,207,1275,14,0.010980392156862745,0.14715996806303744,0.010511426290216957
choice_fluency,low_q25,72.0,0.0,10,0.1,21,207,1275,9,0.007058823529411765,0.0919798601683322,0.010219984463148023
choice_fluency,low_q25,72.0,0.0,25,0.0,21,115,349,10,0.02865329512893983,0.01425014499247793,0.0014250144992477931
choice_fluency,low_q25,72.0,0.0,25,0.05,21,115,349,2,0.0057306590257879654,0.01022504744589112,0.00511252372294556
choice_fluency,low_q25,72.0,0.0,25,0.1,21,115,349,2,0.0057306590257879654,0.01022504744589112,0.00511252372294556
choice_fluency,low_q25,72.0,0.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,0.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,0.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,0.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,0.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,0.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,2.0,10,0.0,21,205,1240,29,0.02338709677419355,0.1340280823419264,0.004621658011790567
choice_fluency,low_q25,72.0,2.0,10,0.05,21,205,1240,15,0.012096774193548387,0.11841594701369743,0.007894396467579829
choice_fluency,low_q25,72.0,2.0,10,0.1,21,205,1240,7,0.00564516129032258,0.04937669549623013,0.007053813642318591
choice_fluency,low_q25,72.0,2.0,25,0.0,21,101,230,10,0.043478260869565216,0.018023688618204903,0.0018023688618204903
