attribute,conditioning,threshold,score_delta,n_min,n_models,n_edges,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
choice_factuality,low_q25,68.0,0.0,25,20,112,127.50326044166373,73.18162466028296,200.68488510194632,0.3646593744372292
choice_factuality,low_q25,68.0,0.0,50,2,1,1.999999999999998,6.162975822039155e-31,2.0,3.0814879110195774e-31
choice_factuality,low_q25,68.0,0.0,100,0,0,,,,
choice_factuality,low_q25,68.0,2.0,10,21,206,353.46826257973834,163.62352180961165,517.0917843893495,0.3164303258131242
choice_factuality,low_q25,68.0,2.0,25,20,104,126.57475074923411,72.64414778077952,199.2188985300137,0.36464486209291624
choice_factuality,low_q25,68.0,2.0,50,0,0,,,,
choice_factuality,low_q25,68.0,2.0,100,0,0,,,,
choice_factuality,low_q25,68.0,5.0,10,21,206,377.54161914246913,174.32074469446582,551.8623638369344,0.3158772116338315
choice_factuality,low_q25,68.0,5.0,25,20,79,104.85629008460803,61.28304488715035,166.13933497175827,0.3688653556821312
choice_factuality,low_q25,68.0,5.0,50,0,0,,,,
choice_factuality,low_q25,68.0,5.0,100,0,0,,,,
choice_factuality,low_q25,68.0,10.0,10,21,205,403.44767369855606,171.65590015421145,575.1035738527676,0.298478235849317
choice_factuality,low_q25,68.0,10.0,25,19,45,66.50386060824977,29.153324964231977,95.65718557248174,0.3047687927441876
choice_factuality,low_q25,68.0,10.0,50,0,0,,,,
choice_factuality,low_q25,68.0,10.0,100,0,0,,,,
choice_safety,high_q75,97.0,0.0,10,21,196,852.4286798138924,141.56772192520586,993.9964017390987,0.14242277102564818
choice_safety,high_q75,97.0,0.0,25,20,101,414.51737809433615,74.01414432193475,488.5315224162708,0.1515033133498975
choice_safety,high_q75,97.0,0.0,50,0,0,,,,
choice_safety,high_q75,97.0,0.0,100,0,0,,,,
choice_safety,high_q75,97.0,2.0,10,21,196,853.7607679035423,141.70758417439595,995.4683520779379,0.1423526763845339
choice_safety,high_q75,97.0,2.0,25,19,89,365.5301925857326,63.243843995928124,428.77403658166054,0.14749923876018844
choice_safety,high_q75,97.0,2.0,50,0,0,,,,
choice_safety,high_q75,97.0,2.0,100,0,0,,,,
choice_safety,high_q75,97.0,5.0,10,21,196,852.6794850780557,141.4103902560345,994.08987533409,0.14225111206218635
choice_safety,high_q75,97.0,5.0,25,19,77,325.73986309048036,52.37256748558836,378.1124305760692,0.13851056789060517
choice_safety,high_q75,97.0,5.0,50,0,0,,,,
choice_safety,high_q75,97.0,5.0,100,0,0,,,,
choice_safety,high_q75,97.0,10.0,10,21,190,853.7725955279136,142.74344969430604,996.5160452222212,0.14324250008686465
choice_safety,high_q75,97.0,10.0,25,19,48,257.7213361414327,30.476940521555903,288.1982766629883,0.1057499054971618
choice_safety,high_q75,97.0,10.0,50,0,0,,,,
choice_safety,high_q75,97.0,10.0,100,0,0,,,,
choice_safety,low_q25,55.0,0.0,10,21,201,503.8777852342395,152.48187870438147,656.3596639386203,0.2323145176066774
choice_safety,low_q25,55.0,0.0,25,20,80,246.54548154563992,59.385946461833726,305.9314280074735,0.19411522003023174
choice_safety,low_q25,55.0,0.0,50,0,0,,,,
choice_safety,low_q25,55.0,0.0,100,0,0,,,,
choice_safety,low_q25,55.0,2.0,10,21,201,501.96622269847694,150.8886199124982,652.8548426109759,0.23112123869533727
choice_safety,low_q25,55.0,2.0,25,20,65,208.4336898009625,44.63719213200055,253.07088193296318,0.17638217321194877
