rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
116,21,210,1330,53,0.03984962406015038,0.039780877492087426,0.0007505825941903287,5577.512711302808,389.1994096367266,5966.712120939526,0.06522845442314432
117,21,210,1330,25,0.018796992481203006,0.025422787901812873,0.0010169115160725147,5404.71926704593,400.38954995410404,5805.108817000035,0.06897192844716
118,21,210,1330,24,0.01804511278195489,0.025980017907658026,0.001082500746152418,5341.171521807693,359.3748203643223,5700.546342172023,0.06304217153813949
119,21,210,1330,27,0.02030075187969925,0.01819892546863404,0.0006740342766160755,5562.922283210324,375.28142874653975,5938.203711956875,0.06319780306473682
120,21,210,1330,21,0.015789473684210527,0.015358826833892234,0.0007313727063758207,5315.26854632409,354.9307655582108,5670.199311882307,0.06259581824829827
121,21,210,1330,32,0.02406015037593985,0.009655131820224159,0.0003017228693820049,5514.671062760337,354.09837747172026,5868.769440232058,0.06033605188922174
122,21,210,1330,31,0.02330827067669173,0.019468148964295932,0.0006280048052998688,5471.07023962363,381.1460744773118,5852.216314100942,0.06512850072867925
123,21,210,1330,25,0.018796992481203006,0.014432959681394374,0.0005773183872557749,5533.456415285002,340.2971082382111,5873.7535235232035,0.05793520393312206
124,21,210,1330,38,0.02857142857142857,0.023857878257653186,0.0006278389015171889,5486.5036270758355,374.3314809083711,5860.835107984221,0.063869990199591
125,21,210,1330,42,0.031578947368421054,0.03561761696911117,0.0008480384992645516,5570.94260574752,371.6636765268673,5942.606282274392,0.06254220099276404
126,21,210,1330,20,0.015037593984962405,0.007808541871710006,0.00039042709358550024,5404.8812956900365,335.8886021835028,5740.769897873542,0.05850933030914904
127,21,210,1330,38,0.02857142857142857,0.014787103109287464,0.0003891342923496701,5405.489242885391,408.03752075768745,5813.526763643077,0.0701876051056465
128,21,210,1330,30,0.022556390977443608,0.031010989497562175,0.0010336996499187392,5485.274845795153,379.5601299008915,5864.834975696046,0.06471795565839342
129,21,210,1330,55,0.041353383458646614,0.027425859209424603,0.0004986519856259018,5350.040669905195,378.73204447071134,5728.772714375906,0.06611050278191574
130,21,210,1330,25,0.018796992481203006,0.019584461098908133,0.0007833784439563253,5461.630273218756,383.19289629075615,5844.823169509516,0.06556107604584945
131,21,210,1330,20,0.015037593984962405,0.01201455248875157,0.0006007276244375785,5271.090717730658,374.27478461141834,5645.365502342074,0.06629770640291478
132,21,210,1330,40,0.03007518796992481,0.03423794097721581,0.0008559485244303951,5517.359701822926,391.72611798952926,5909.085819812461,0.06629216937011106
133,21,210,1330,35,0.02631578947368421,0.05094436763484141,0.0014555533609954688,5633.107714731721,454.5354572681284,6087.643171999844,0.07466525951434988
134,21,210,1330,45,0.03383458646616541,0.053154350576118635,0.0011812077905804142,5170.310652636663,386.65310512463526,5556.963757761296,0.06957992205448613
135,21,210,1330,44,0.03308270676691729,0.03110667465240971,0.0007069698784638571,5398.528289802331,486.2026633249744,5884.730953127297,0.08262105221082264
136,21,210,1330,28,0.021052631578947368,0.012246022794703843,0.0004373579569537087,5850.91935696443,397.9665065448828,6248.885863509319,0.06368599382952857
137,21,210,1330,31,0.02330827067669173,0.012686414702404688,0.00040923918394853836,5419.950414795179,373.49036178192375,5793.440776577115,0.06446779663165723
138,21,210,1330,19,0.014285714285714285,0.0058023757880701875,0.0003053881993721152,5708.455975287125,394.59599437447685,6103.051969661596,0.06465551929362917
139,21,210,1330,22,0.016541353383458645,0.011597302974963416,0.0005271501352256098,5593.372782541497,358.5036166661788,5951.87639920768,0.06023371330659742
140,21,210,1330,32,0.02406015037593985,0.020930769577424048,0.0006540865492945015,5503.533542607267,393.3930909706101,5896.92663357787,0.06671154576191918
141,21,210,1330,35,0.02631578947368421,0.03009560182331437,0.000859874337808982,5391.185170277027,411.3898411120267,5802.57501138906,0.07089780662974066
142,21,210,1330,38,0.02857142857142857,0.03400675285578998,0.0008949145488365786,5447.694777846902,394.4958398514987,5842.190617698398,0.06752532836850762
